,City,Hotel_name,Location,Reviews,Star_rating,Actual_price,Discount,Price
190,lucknow,Collection O 804712 City Centre Hotel,"Cash and Pay Colony, Lucknow",Very Good,NEW,₹4448,65% off,₹1557
191,lucknow,POP 700796 Metro Inn By Hotel Janki,"Shankar Puri, Lucknow",Very Good,3.5,₹1775,68% off,₹559
192,lucknow,OYO 82576 Hotel Devpuri Inn,"Near Utrathiya Chauraha Br Ambedkar University Road Lucknow, Lucknow",Good,4.1,₹3417,65% off,₹1196
193,lucknow,Flagship 74624 As Palace," 5/368 Viraj Khand, Gomti Nagar, Near AMITY School Lucknow",Very Good,3.1,₹1931,68% off,₹608
194,lucknow,OYO Flagship 80464A Hotel Metro View,"infront of Musafir khana, Lucknow",Fair,NEW,₹4154,65% off,₹1454
195,lucknow,Townhouse 1149 Hotel Impact,"viraj khand gomti nagar, Lucknow",Very Good,4.3,₹4634,71% off,₹1298
196,lucknow,Flagship 69004 Mauryan's Guest House,"Near Highcourt, Kamata, Lucknow",Very Good,4.1,₹2557,72% off,₹716
197,lucknow,OYO SilverKey 74219 Guest House,"Sector 7, Vrindavan Colony, Lucknow",Good,3.7,₹2938,71% off,₹823
198,lucknow,Capital O 18375 Jd Palace,"Chinhat, Gomti Nagar, Lucknow",,4.1,₹2474,71% off,₹693
199,lucknow,OYO 29308 Virasat Shaheed Path Inn,"6C/894, Sector 6, Gomti Nagar, Lucknow, Lucknow",Very Good,4.1,₹3249,65% off,₹1137
200,noida,Collection O 701792 Hotel Vibhu Residency,"Salarpur Khadar Noida Uttar PradeshIndia, Noida",Very Good,3.0,₹1472,69% off,₹454
201,noida,OYO 82414 Hotel Basera,"India, Noida",Fair,4.7,₹1761,68% off,₹555
202,noida,OYO Flagship 701737 A One Hotel,"Salarpur Khadar Noida Uttar PradeshIndia201301, Noida",,5.0,₹2011,72% off,₹563
203,noida,OYO Flagship 80488C Arjun Residency House,"Block B, Noida",Excellent,NEW,₹1505,67% off,₹495
204,noida,Collection O 77404 Hotel Balram,"Near Sec 34 Metro Station, C-5 Sec 51 Noida",,4.5,₹2385,71% off,₹668
